,active,confirmed,country_region,deaths,last_update,lat,long,recovered,country,iso3,inform_risk,inform_p2p_hazard_and_exposure_dimension,population_density,population_living_in_urban_areas,proportion_of_population_with_basic_handwashing_facilities_on_premises,people_using_at_least_basic_sanitation_services,inform_vulnerability,inform_health_conditions,inform_epidemic_vulnerability,mortality_rate_under_5,prevalence_of_undernourishment,inform_lack_of_coping_capacity,inform_access_to_healthcare,inform_epidemic_lack_of_coping_capacity,physicians_density,current_health_expenditure_per_capita,maternal_mortality_ratio
0,4895.0,5687.0,Australia,35.0,4/5/2020 18:30,-25.0,133.0,757.0,Australia,AUS,2.3,2.5,3.25,86.012,No data,99.99115,2.2,0.1,5.8,3.5,2.4,2.1,0.5,1.1,35.87,4529.89,6
1,8849.0,12051.0,Austria,204.0,4/5/2020 18:24,47.5162,14.5501,2998.0,Austria,AUT,1.6,2.5,107.21,58.297,No data,99.97291,2.6,0.1,4.1,3.599999905,2.4,1.4,0.5,2.3,51.44,5295.18,4
2,0.0,14426.0,Canada,259.0,4/5/2020 18:30,60.001000000000005,-95.001,3000.0,Canada,CAN,2.4,2.4,4.08,81.411,No data,99.28601,2.3,0.1,6.5,5.099999905,2.4,2.3,1.5,1.2,26.1,4718.3,7
3,2062.0,82602.0,China,3333.0,4/5/2020 9:23,30.5928,114.3055,77207.0,China,CHN,4.3,4.5,148.35,59.152,No data,84.76079,3.1,0.4,5.6,9.300000191,8.5,3.6,3.4,2.0,17.86,761.49,27
4,2953.0,4561.0,Denmark,179.0,4/5/2020 18:24,56.0,10.0,1429.0,Denmark,DNK,1.1,3.9,138.07,87.874,No data,99.59723000000001,1.8,0.1,5.7,4.300000191,2.4,1.3,0.2,1.2,44.57,5092.98,6
5,1599.0,1927.0,Finland,28.0,4/5/2020 18:24,61.9241,25.7482,300.0,Finland,FIN,0.6,2.3,18.16,85.382,No data,99.44784,1.6,0.1,4.8,2.299999952,2.4,1.4,0.6,1.6,38.08,4112.05,3
6,67696.0,90868.0,France,7575.0,4/5/2020 18:24,46.2276,2.2137,15597.0,France,FRA,2.3,2.8,122.34,80.444,No data,98.65001,2.8,0.3,3.4,4.199999809,2.4,1.9,0.9,5.5,32.35,4782.29,8
7,68545.0,98772.0,Germany,1527.0,4/5/2020 18:24,51.1657,10.4515,28700.0,Germany,DEU,2.0,2.8,237.37,77.312,No data,99.22504,3.4,0.1,5.2,3.700000048,2.4,1.5,0.4,4.0,42.09,5463.33,6
8,1054.0,1486.0,Iceland,4.0,4/5/2020 18:24,64.9631,-19.0208,428.0,Iceland,ISL,1.2,3.8,3.53,93.813,No data,98.78217,0.8,0.1,7.7,2.099999905,2.4,1.9,0.4,2.7,39.7,4245.11,3
9,4811.0,4994.0,Ireland,158.0,4/5/2020 18:24,53.1424,-7.6921,25.0,Ireland,IRL,1.4,3.1,70.45,63.17,No data,91.24518,1.3,0.2,5.5,3.5,2.4,1.9,0.9,2.5,30.86,5299.65,8
10,91246.0,128948.0,Italy,15887.0,4/5/2020 18:24,41.8719,12.5674,21815.0,Italy,ITA,2.6,2.8,205.45,70.438,No data,98.77243,2.5,0.2,5.2,3.400000095,2.4,2.2,0.4,8.2,40.93,3427.31,4
11,15920.0,17953.0,Netherlands,1771.0,4/5/2020 18:24,52.3167,5.55,262.0,Netherlands,NLD,1.4,3.5,511.46,91.49,No data,97.71361,2.1,0.1,5.9,3.900000095,2.4,1.3,0.6,1.1,35.07,5251.24,7
12,5584.0,5687.0,Norway,71.0,4/5/2020 18:24,60.472,8.4689,32.0,Norway,NOR,0.9,2.5,14.55,82.248,No data,98.05439,2.1,0.2,5.7,2.599999905,2.4,1.6,0.3,5.3,46.34,6203.45,5
13,6224.0,6830.0,Sweden,401.0,4/5/2020 18:24,60.1282,18.6435,205.0,Sweden,SWE,1.5,3.7,25.0,87.431,No data,99.29552,3.1,0.2,6.8,2.799999952,2.4,1.5,0.1,0.9,54,5386.73,4
14,14000.0,21100.0,Switzerland,685.0,4/5/2020 18:24,46.8182,8.2275,6415.0,Switzerland,CHE,1.4,3.7,215.52,73.797,No data,99.89036999999999,2.4,0.2,6.2,4.199999809,2.4,0.9,0.4,4.7,42.36,7867.39,5
15,43234.0,48406.0,United Kingdom,4943.0,4/5/2020 18:24,55.0,-3.0,229.0,United Kingdom,GBR,1.8,3.2,274.83,83.398,No data,99.11029,2.2,0.3,5.2,4.300000191,2.4,1.5,1.1,1.3,28.06,4177.81,9
